,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
87,john1966olsen,Erly retired old YouTuber and computer gamer. I enjoy life :-)  Socialdemokrat and S-member. #MongoTV #MongoNews #MongoTube #MongoMedia #MongoSpace #MongoDrones,Denmark - Copenhagen North,4985,2432,884700,0,"RT @FrankJensenKBH: Nej: Nye almene boliger i KBH tiltrækker 
fra ALLE samfundslag. Uden dem bliver nye bydele rene
rigmandskvarterer. Er d…",[],2017-09-29 23:18:44
88,PoliTweetApp,Stats: http://stats.politirunden.no Maps: http://map.politirunden.no Hjelp oss? http://mapit.politirunden.no //De vi følger er de vi RT'er. Driftes av @laabak,"Oslo, Norge",72,6451,683038,0,"RT @politiopssbusk: Drammen. Mann, 30 år fra Drm, pågrepet for å ha slått 2 andre gjester på utested i Drammen. De fornærmede blir behandle…",[],2017-09-29 23:18:13
89,politiopssbusk,"Denne profilen er ikke aktiv. Følg  @politietsorost. Vi svarer ikke på henvendelser her. Ved behov for øyeblikkelig hjelp, ring 112.",Sør-Øst politidistrikt,7,49155,30436,3,"Drammen. Mann, 30 år fra Drm, pågrepet for å ha slått 2 andre gjester på utested i Drammen. De fornærmede blir behandlet på legevakt.",[],2017-09-29 23:18:05
90,konninn,"Stjarnan - Man UTD - Skeiðin - Bjór -  Þreyttur gaur. 
Profit -I get it.... my hair looks sexy back...",Iceland,653,580,28512,0,"@sveinnbirkir Jú eru frá austurríki, en í honum var töluð austurrísk þýska, þannig það telur finnst mér.",[],2017-09-29 23:17:43
91,annette_benette,Sanger 🎤 - Medlem af @enhedslisten - Har fået NOK af had! samfundets svageste og nuancer i debatten. Elsker sort humor 🤪 Stolt medlem af #Buketbanden 🌹,"Aalborg, Danmark",2704,2585,51082,0,"@Maximus2292 @x01rose Så det er ok med skattely-penge, bare det ikke er fra Danmark... eller hvordan??",[],2017-09-29 23:17:35
92,mck_desaunettes,10scret ⚠️J’ai pas pété les plombs j’ai juste coupé les ponts. KhabKhab🇷🇺☝🏾 //KAAZER🙏🏿❤️,Evry Essonne ,537,664,28288,0,"RT @ActuFoot_: Indice UEFA :

1️⃣ ESP🇪🇸 92.855 pts
2️⃣ ENG🇬🇧 66.462
3️⃣ ITA🇮🇹 64.916
4️⃣ ALL🇩🇪 63.998
5️⃣ FRA🇫🇷 49.248
6️⃣ RUS🇷🇺 46.382
7️⃣…",[],2017-09-29 23:17:32
93,giadinam82,Appese ad un filo sottile ci sono tutte le stelle che ho...,,317,232,9472,0,RT @fra_sal24: Coltivate i vostri difetti come se fossero un campo di fiori #MTVEMA #NominoErmalMeta,"['MTVEMA', 'NominoErmalMeta']",2017-09-29 23:16:45
94,AngelaChiorazz1,"Lavoratrice, mamma, mai senza musica...

👤..Non e' facile scoprirle e sai perchè 
Sono fabbricanti di maschere..🎭👊😔","Avellino, Campania",1131,584,26904,0,RT @fra_sal24: Coltivate i vostri difetti come se fossero un campo di fiori #MTVEMA #NominoErmalMeta,"['MTVEMA', 'NominoErmalMeta']",2017-09-29 23:16:10
95,Aktuelthaugalan,Nyheter og aktuelle meldinger fra Haugalandet.,Haugesund,2,1531,36264,0,SISTE FRA POLITIET: Mann anmeldt for urinering på offentlig sted i Haugesund sentrum. Bortvist til i morgen kl.... https://t.co/baDnWLLZ5Y,[],2017-09-29 23:16:08
96,MavicPro976,"Registro paesaggi mozzafiato grazie al mio drone, un gioiellino di tecnologia molto potente, il MavicPro della DJi",,81,10,273,0,"Tagliacozzo da drone ... Tagliacozzo è un borgo antico fra i piu belli d'Italia, si trova in provincia de... https://t.co/VRPfPDv3r7",[],2017-09-29 23:15:37
97,RJGG_NGO,"御用方はDMへお願いします。中部国際空港中大型機の到着案内をします。定時でご案内するので時間変更等につきましては一切の責任を負いません Seoul(ICN)発Nagoya(NGO)行きのアシアナカーゴOZ196便は76Fの運航(水曜日00:05,土曜日13:20)",,260,233,25243,0,Frankfult(FRA)発Nagoya(NGO)行きルフトハンザ航空のLH736(343)が到着します,[],2017-09-29 23:15:07
98,ifixiphone,"Il http://Booking.com della riparazione #iPhone, #iPad #Samsung #Huawei. Fai un preventivo e ripari il tuo #smartphone in 30' in un negozio vicino a te",Italia,1069,1547,5430,0,"RT @BlobVideo: Ecco le differenze fra #iPhone Rigenerati #Apple, iPhone Ricondizionati da Terzi ed iPhone Usati https://t.co/0zApllSkrU","['iPhone', 'Apple']",2017-09-29 23:14:05
99,9633PENGUIN,🐧色々垢🐧ポケモン、パズドラメイン？🐧ログ頻少🐧ゲーム関連の発言だけでは無いので悪しからず,フォロバは趣味が合うかと気分,2320,318,14615,0,"@ssssiz2000 アイテム大丈夫ですm(_ _)m
自分のポケモンの為に使って下さいゞ
とりあえず日産、KOR産、ENG産、SPA産、FRA産、ITA産があります
有用性格の個体のみ写真添付しますね https://t.co/CTBvGV6vYN",[],2017-09-29 23:14:05
